,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
15463,Tseung Kwan O Dental Clinic,將軍澳牙科診所,HNC,CLI,845647,819871,"2/F, Tseung Kwan O Po Ning Road Health Centre, 28 Po Ning Road, Tseung Kwan O, N.T.",新界將軍澳寶寧路28號將軍澳寶寧路健康中心2樓,GeoCom
15466,NEW CITY HOTEL,新城賓館,AMD,GHS,835521,819763,"Flat 1409, 14/F, Sun Hing Building, 607 Nathan Road, Mong Kok, Kowloon.",九龍旺角彌敦道607號 新興大廈14字樓1409室,GeoCom
15467,HKCT Institute of Higher Education,港專學院,SCH,TEI,841818,831503,"HKCT Jockey Club Undergraduate Campus, 2 On Shing Street, Ma On Shan, N.T.",港專賽馬會本科校園 新界沙田馬鞍山鞍誠街2號,GeoCom
15470,ATHENA,ATHENA,AMD,GHS,835821,817602,"Flat A5, 8/F, Block A, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈A座8字樓A5室,GeoCom
15473,LEVEL 4,LEVEL 4,AMD,GHS,837560,820571,"4/F,14-18 Sung Wong Toi Road,Kowloon City, Kowloon.",九龍九龍城宋皇臺道14-18號4字樓,GeoCom
15474,BOUTIQUE 1946 HOSTEL,精品旅館,AMD,GHS,835798,817739,"Flat A, 8/F, Majestic House, 80 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道80號金鑾大廈8字樓A室,GeoCom
15475,QINN,親旅館,AMD,GHS,835809,817742,"Flat A, 11/F, Majestic House, 80 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道80號金鑾大廈11字樓A室,GeoCom
15476,SUPER GUEST HOUSE,超級賓館,AMD,GHS,835828,817508,"Flat A5, Block A, 12/F, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈A座12字樓A5室,GeoCom
15477,SINGH GUESTHOUSE,SINGH GUESTHOUSE,AMD,GHS,835850,817481,"Flat D7, Block D,7/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座7字樓D7室,GeoCom
15478,YESINN,悅思客棧,AMD,GHS,838191,816781,"Flat I, 3/F, Rear Block, Continental Mansion, 294 King's Road,North Point, Hong Kong.",香港北角英皇道294號五洲大廈後座3字樓I室,GeoCom
15479,NEW GUANGZHOU GUEST HOUSE,NEW GUANGZHOU GUEST HOUSE,AMD,GHS,835846,817477,"Flat D6, Block D,13/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座13字樓D6室,GeoCom
15480,9 BOUTIQUE HOTEL,9 BOUTIQUE HOTEL,AMD,GHS,837003,815499,"Flat 5B, 5/F, Phoenix Apartments, 70 Lee Garden Road, Causeway Bay, Hong Kong.",香港銅鑼灣利園山道70號 鳳鳴大廈5字樓5B室,GeoCom
15482,NEW SHANGHAI GUEST HOUSE,新上海招待所,AMD,GHS,835843,817478,"Flat D2, Block D,16/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座16字樓D2室,GeoCom
15483,EXCEL GUEST HOUSE,EXCEL GUEST HOUSE,AMD,GHS,835880,817514,"Flat C5, 9/F, Block C, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈C座9字樓C5室,GeoCom
15484,KOWLOON HOSTEL-CLASSIC,九龍大旅館-經典,AMD,GHS,835823,817603,"Flat E1, Block E,10/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈E座10字樓E1室,GeoCom
15485,CHILLOUT HOLIDAYS INN (HONG KONG) CO LIMITED,青樓假日(香港)有限公司,AMD,GHS,835760,818470,"Flat F, 5/F, National Court, 242 Nathan Road, Jordan, Kowloon.",九龍佐敦彌敦道242號立信大廈5字樓F室,GeoCom
15486,NGAI FUNG HOTEL (JORDAN),藝豐(佐敦)酒店,AMD,GHS,835462,818527,"Flat A4, 9/F, United Mansion,37G Jordan Road,Jordan, Kowloon.",九龍佐敦佐敦道37G號統一大廈9字樓A4室,GeoCom
15487,HOLIDAY LODGE,HOLIDAY LODGE,AMD,GHS,835866,817474,"Flat D8, 6/F, Block D,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座6字樓D8室,GeoCom
15488,CARY HOTEL LIMITED,凱利酒店有限公司,AMD,GHS,835564,818508,"Flat A-D, 4/F, Woosung House,127 Woosung Street, Jordan,Kowloon.",九龍佐敦吳松街127號吳淞大樓4字樓A-D室,GeoCom
15489,VICTORIA VILLA,VICTORIA VILLA,AMD,GHS,837718,816331,"1/F, Ming Hing Building,9-11 Gordon Road,Causeway Bay, Hong Kong.",香港銅鑼灣歌頓道9-11號明興大樓1字樓,GeoCom
15490,WAI FAN GUEST HOUSE,偉帆賓館,AMD,GHS,835809,817665,"Flat B1, 5/F, Golden Crown Court,68 Nathan Road,Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道68號金冠大廈5字樓B1室,GeoCom
15491,RELIANCE WESTIN,萊頓賓館,AMD,GHS,835834,817606,"Flat F4, 16/F, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈16字樓F4室,GeoCom
15492,YAT AH GUESTHOUSE,益雅旅館,AMD,GHS,835497,818432,"8/F, Knatwood Commercial Building,253-255 Temple Street,Jordan, Kowloon.",九龍佐敦廟街253-255號世華商業大廈8字樓,GeoCom
15493,THE MAHJONG,THE MAHJONG,AMD,GHS,837393,820079,"Flat 2A, 1/F, Pak Tai Mansion, 2A-2B Ma Hang Chung Road, To Kwa Wan, Kowloon.",九龍土瓜灣馬坑涌道2A-2B號 北帝大廈1字樓2A室,GeoCom
15494,SUN GUEST HOUSE,太陽賓館,AMD,GHS,835884,817486,"Flat E1, 9/F, Block E, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈E座9字樓E1室,GeoCom
15495,HONG KONG SHUNNY HOTEL LIMITED,香港新誼賓館有限公司,AMD,GHS,835750,817644,"Flat B1, 6/F, Block B, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道87號 華源大廈B座6字樓B1室,GeoCom
15496,LEVEL 3,LEVEL 3,AMD,GHS,837559,820570,"3/F, 14-18 Sung Wong Toi Road,Kowloon City, Kowloon.",九龍九龍城宋皇臺道14-18號3字樓,GeoCom
15497,HOLIDAY GUEST HOUSE,HOLIDAY GUEST HOUSE,AMD,GHS,835848,817479,"Flat D7 & E1, Block D & E,6/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座6字樓D7室& E座6字樓E1室,GeoCom
15498,WAI SAM,WAI SAM,AMD,GHS,836143,818125,"7/F & 8/F, Kee Shing Commercial Building,80 Kimberley Road,Tsim Sha Tsui, Kowloon.",九龍尖沙咀金巴利道80號奇盛商業大廈7&8字樓,GeoCom
15499,YAU KING HOTEL,優景旅館,AMD,GHS,835673,818505,"Flat C, 11/F, Foremost Building, 21 Jordan Road, Jordan, Kowloon.",九龍佐敦佐敦道21號福樂大廈11字樓C室,GeoCom
15500,ZODIAC LODGE,ZODIAC LODGE,AMD,GHS,835879,817482,"Flat E6, Block E, 12/F, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈E座12字樓E6室,GeoCom
15501,GERMANY HOSTEL,GERMANY HOSTEL,AMD,GHS,835859,817479,"Flat D2, Block D,6/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座6字樓D2室,GeoCom
15502,FISHERMAN RED HOTEL,漁夫紅酒店,AMD,GHS,835557,818764,"1/F-2/F, 200-202 Shanghai Street, Jordan, Kowloon.",九龍佐敦上海街200-202號1-2字樓,GeoCom
15503,HOMY INN,灝美連鎖式酒店,AMD,GHS,836117,817699,"Flat H, 6/F, Union Mansion, 33-35 Chatham Road South, Tsim Sha Tsui, Kowloon.",九龍尖沙咀漆咸道南33-35號 友聯大廈6字樓H室,GeoCom
15504,WAN YUE HOTEL,萬悅賓館,AMD,GHS,835824,817605,"Flat A10, 14/F, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈14字樓A10室,GeoCom
15505,BERLIN HOTEL,柏林酒店,AMD,GHS,835793,818359,"Flat A, B & Flat Roof of 1/F, 2 Tak Hing Street, Jordan, Kowloon.","九龍佐敦德興街2號1字樓A,B室及平台",GeoCom
15506,BRIDAL TEA HOUSE HOTEL (YAU MA TEI),紅茶館酒店(油麻地),AMD,GHS,835627,819118,"5/F, 5-5C Wing Sing Lane,Yau Ma Tei, Kowloon.",九龍油麻地永星里5-5C號5字樓,GeoCom
15507,HAPPY BEE HOSTEL,悅點精品旅館,AMD,GHS,835866,817478,"Flat D4, 13/F, Block D,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座13字樓D4室,GeoCom
15508,3D INN HONG KONG - ROMANCE,3D客棧-浪漫系列,AMD,GHS,835820,817602,"Flat A5, 6/F, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈6字樓A5室,GeoCom
15509,HOHO HOSTEL,好棧,AMD,GHS,835763,818469,"Flat E, 2/F, National Court, 242 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道242號立信大廈2字樓E室,GeoCom
15510,DIPTY GUESTHOUSE,DIPTY GUESTHOUSE,AMD,GHS,835852,817480,"Flat D6, Block D, 9/F, Chungking Mansions, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座9字樓D6室,GeoCom
15511,UKKEI INN,屋企旅舍,AMD,GHS,835623,819224,"Flat B, 10/F, Lai Shing Building, 15-17 Man Ming Lane, Yau Ma Tei, Kowloon.",九龍油麻地文明里15-17號 麗星大廈10字樓B室,GeoCom
15512,I-FENG HOTEL,益豐賓館,AMD,GHS,837552,819620,"Flat 215-217, 1/F, Block B, I-Feng Mansion, 237A To Kwa Wan Road, To Kwa Wan, Kowloon.",九龍土瓜灣土瓜灣道237A號 益豐大廈B座1字樓215-217室,GeoCom
15513,CAMERON GUESTHOUSE,金馬倫賓館,AMD,GHS,835757,817676,"Flat 1004, 10/F, Hai Phong Mansion, 101 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道101號海防大廈10字樓1004室,GeoCom
15514,LUNG WU GUEST HOUSE,龍湖賓館,AMD,GHS,820931,834043,"Flat 1, 1/F, Hung Fook Building,25-29 Tung Lok Street,Yuen Long, New Territories.",新界元朗同樂街25-29號鴻福樓1字樓1室,GeoCom
15515,FAMILY INN,家家旅館,AMD,GHS,836936,815870,"Flat H, 13/F, Hoi To Court, 275 Gloucester Road, Causeway Bay, Hong Kong.",香港銅鑼灣告士打道275號 海都大廈13字樓H室,GeoCom
15516,PACIFIC LODGE,PACIFIC LODGE,AMD,GHS,835868,817512,"Flat C1, 17/F, Block C, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈C座17字樓C1室,GeoCom
15517,HK INTERNATIONAL HOSTEL,香港國際旅館,AMD,GHS,835882,817514,"Flat C1, Block C,6/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈C座6字樓C1室,GeoCom
15518,KOWLOON T.S.T. GUEST HOUSE,九龍尖沙咀賓館,AMD,GHS,835860,817512,"Flat B4, Block B,11/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈B座11字樓B4室,GeoCom
15519,TAJ PREMIUM GUEST HOUSE,TAJ PREMIUM GUEST HOUSE,AMD,GHS,835822,817610,"Flat E2&E3, 7/F, Block E, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈E座7字樓E2及E3室,GeoCom
15520,NEW GARDEN HOSTEL,新花園旅舍,AMD,GHS,835826,817604,"Flat C4 & F4, 13/F, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈 13字樓C4及F4室,GeoCom
15521,AS 1 HOTEL,如一酒店,AMD,GHS,835758,818531,"Flat N, 6/F., New Lucky House, 15 Jordan Road, Jordan, Kowloon.",九龍佐敦佐敦道15號華豐大廈6字樓N室,GeoCom
15522,DRAGON INTERNATIONAL TRAVEL SERVICE CENTRE,龍匯國際遊客服務中心,AMD,GHS,835848,817478,"Flat B3, 3/F, Block B, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈B座3字樓B3室,GeoCom
15523,CHINA TOWN PREMIUM GUEST HOUSE,CHINA TOWN PREMIUM GUEST HOUSE,AMD,GHS,835821,817604,"Flat B3, 16/F, Block B, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈B座16字樓B3室,GeoCom
15524,TIANJIN HOSTEL,天津賓館,AMD,GHS,836941,815859,"Flat D, 2/F, Hoi To Court, 275 Gloucester Road, Causeway Bay, Hong Kong.",香港銅鑼灣告士打道275號海都大廈2字樓D室,GeoCom
15525,HOI SHING HOUSE,凱成賓館,AMD,GHS,835755,818534,"Flat M & N, 1/F, New Lucky House,15 Jordan Road,Jordan, Kowloon.",九龍佐敦佐敦道15號華豐大廈1字樓M&N室,GeoCom
15526,NAM KEUNG TOURING TRADING LIMITED,南強旅業貿易有限公司,AMD,GHS,835742,817647,"Flat B2, 11/F, Block B, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道87號 華源大廈B座11字樓B2室,GeoCom
15527,GALAXY HOTEL(2),星河酒店(2),AMD,GHS,837078,815908,"Flat B, 6/F, Haywood Mansion, 57 Paterson Street, Causeway Bay, Hong Kong.",香港銅鑼灣百德新街57號 海華大廈6字樓B室,GeoCom
15528,DAY AND NIGHT HOTEL,DAY AND NIGHT HOTEL,AMD,GHS,835844,817480,"Flat D8 & E2, Block D & E,10/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D&E座10字樓D8&E2室,GeoCom
15529,AIRY STAY ON COMFORT BUILDING,AIRY STAY ON COMFORT BUILDING,AMD,GHS,835801,817785,"Flat A, 11/F, Comfort Building, 88 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道88號安樂大廈11字樓A室,GeoCom
15530,EUROPEAN PREMIUM GUEST HOUSE,EUROPEAN PREMIUM GUEST HOUSE,AMD,GHS,835842,817474,"Flat D4, 12/F, Block D, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈D座12字樓D4室,GeoCom
15531,MANKA INN HONG KONG,文仁旅館,AMD,GHS,835744,817644,"Flat D2, 11/F, Block D, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道87號 華源大廈D座11字樓D2室,GeoCom
15532,VIENNA HOTEL,維也納酒店,AMD,GHS,835794,818358,"Flat A & B, 3/F, 2 Tak Hing Street, Jordan, Kowloon.",九龍佐敦德興街2號3字樓A及B室,GeoCom
15533,NEW FORTUNATE GUEST HOUSE,新鴻運賓館,AMD,GHS,835826,817508,"Flat A1, Block A,11/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈A座11字樓A1室,GeoCom
15534,I TOP GUEST HOUSE,頂好賓館,AMD,GHS,835877,817511,"Flat 4, 14/F, Block C, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon",九龍尖沙咀彌敦道40號重慶大廈C座14字樓4室,GeoCom
15535,BOHOL HOTEL,BOHOL HOTEL,AMD,GHS,835867,817475,"Flat D3, 6/F, Block D, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座6字樓D3室,GeoCom
15536,CORAL INN,珊瑚酒店,AMD,GHS,835749,817648,"Flat D2, 9/F, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道87號華源大廈9字樓D2室,GeoCom
15537,L3 INN,旅旅旅館,AMD,GHS,835709,817623,"5/F, Long Wah Building, 21A Lock Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀樂道21A號龍華大廈5字樓,GeoCom
15538,WHOLE SUNSHINE INTERNATIONAL HOTEL,四季陽光國際酒店,AMD,GHS,835811,817506,"Block A,4/F & 5/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈A座4&5字樓,GeoCom
15539,CANADIAN HOSTEL,CANADIAN HOSTEL,AMD,GHS,835881,817476,"Flat E6, Block E,7/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈E座7字樓E6室,GeoCom
15540,MORNING HONG KONG,早安旅店,AMD,GHS,835823,817606,"Flat C3, 11/F, Block C, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈C座11字樓C3室,GeoCom
15541,AUSTRALIAN GUEST HOUSE,AUSTRALIAN GUEST HOUSE,AMD,GHS,835860,817484,"Flat D7, Block D,16/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈D座16字樓D7室,GeoCom
15542,ROCK INN LIMITED,形品旅館有限公司,AMD,GHS,835876,817853,"Flat 14R, 2/F, Granville Building, 12 Granville Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀加連威老道12號 加連威大廈2字樓14R室,GeoCom
15543,NEW GRAND GUEST HOUSE,新格蘭賓館,AMD,GHS,835873,817513,"Flat C5, Block C,13/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈C座13字樓C5室,GeoCom
15544,HONG KONG MOTEL 6,香港連鎖酒店6,AMD,GHS,836022,817791,"Flat C, 5/F, Fook Kiu Mansion, 34-36A Cameron Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀金馬倫道34-36A號福僑大廈5字樓C室,GeoCom
15545,ASIA TOURIST HOUSE,亞洲旅店,AMD,GHS,836025,817792,"Flat B, 8/F, Fook Kiu Mansion,34-36A Cameron Road,Tsim Sha Tsui, Kowloon.",九龍尖沙咀金馬倫道34-36A號福僑大廈8字樓B室,GeoCom
15546,ROYAL CAPITAL GUEST HOUSE,首都賓館,AMD,GHS,835810,817508,"Flat A7, Block A,13/F, Chungking Mansions,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈A座13字樓A7室,GeoCom
15547,ISLAND INN,港逸客棧,AMD,GHS,838556,816917,"Flat 5, 11/F, Block A, Kiu Kwan Mansion, 395 King's Road, North Point, Hong kong.",香港北角英皇道395號 僑冠大廈A座11字樓5室,GeoCom
15548,WAI FAN GUEST HOUSE,偉帆賓館,AMD,GHS,835808,817666,"Flat E, 5/F, Golden Crown Court,68 Nathan Road,Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道68號金冠大廈5字樓E室,GeoCom
15550,LILY GARDEN GUESTHOUSE,百合賓館,AMD,GHS,835825,817604,"Flat F2, Block F,5/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈F座5字樓F2室,GeoCom
15551,SHERATON HONG KONG HOTEL & TOWERS,香港喜來登酒店,AMD,HTL,835834,817370,"20 Nathan Road,Tsim Sha Tsui,Kowloon.",九龍尖沙咀彌敦道20號,GeoCom
15552,SEA VIEW RESORT,海景渡假屋,AMD,GHS,820794,807423,"G/F SEA VIEW HOUSES, 2 CHUNG HOK ROAD, CHEUNG CHAU",長洲中學路2號海景樓地下,GeoCom
15553,NAM KEUNG TOURING TRADING LTD,南強旅業貿易有限公司,AMD,GHS,835746,817617,"Flat B, 10/F, Harilela Mansion, 81 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道81號喜利大廈10字樓B室,GeoCom
15555,Evangelical Free Church of China Verbena Church,中國基督教播道會茵怡堂,REM,CHU,844380.455,820576.3,"Tung Wah Group of Hospitals Lui Yun Choy Memorial College, Tseung Kwan O, NT",新界將軍澳東華三院呂潤財紀念中學,GeoCom
15557,YESINN,悅思客棧,AMD,GHS,838192,816779,"Flat C, 15/F, Continental Mansion,294 King's Road, North Point,Hong Kong.",香港北角英皇道294號 五洲大廈15字樓C室,GeoCom
15560,Greenfield Free Methodist Church,循理會青田堂,REM,CHU,828636.607,823944.829,"Yee Yip House, Tsing Yi, NT",新界青衣宜業樓,GeoCom
15561,RIDOR GUESTHOUSE,麗都旅館,AMD,GHS,835825,817604,"Flat A9, Block A,10/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈A座10字樓A9室,GeoCom
15562,YIU FAI GUEST HOUSE,耀暉賓館,AMD,GHS,835807,817666,"Flat E, 6/F, Golden Crown Court,68 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道68號金冠大廈6字樓E室,GeoCom
15563,Evangelical Free Church of China Amazing Church,中國基督教播道會奇恩堂,REM,CHU,832367.587,821893.276,"Mei Foo Sun Chuen, Lai Chi Kok, KLN",九龍荔枝角美孚新邨,GeoCom
15564,All Virtues Baptist Church,百德浸信會,REM,CHU,842420,814110,"E-Trade Plaza, Chai Wan, HK",香港柴灣東貿廣場,GeoCom
15566,SWEET HEART HOTEL,甜心酒店,AMD,GHS,837008,815494,"Flat J, 2/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",香港銅鑼灣利園山道70號鳳鳴大廈2字樓J室,GeoCom
15567,SHINE INN,心逸酒店,AMD,GHS,835807,817741,"Flat B, 11/F, Majestic House,80 Nathan Road, Tsim Sha Tsui,Kowloon.",九龍尖沙咀彌敦道80號金鑾大廈11字樓B室,GeoCom
15569,CALIFORNIA HOTEL 1,加洲酒店1,AMD,GHS,835809,817661,"Flat C(Portion), D & E(Portion), 4/F, Golden Crown Court, 68 Nathan Road, Tsim Sha Tsui, Kowloon","九龍尖沙咀彌敦道68號金冠大廈4字樓C室(部分), D室及E室(部分)",GeoCom
15570,CITY HK GUEST HOUSE,CITY HK GUEST HOUSE,AMD,GHS,835876,817491,"Flat E3, 10/F, Block E, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈E座10字樓E3室,GeoCom
15571,COMFORT GUEST HOUSE,安逸賓館,AMD,GHS,835886,817514,"Flat C5, 10/F, Block C,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈C座10字樓C5室,GeoCom
15572,The Church of Christ in China Hung Hom Kei To Church,中華基督教會紅磡基道堂,REM,CHU,837207.818,819620.977,"The Church of Christ in China Wanchai Church Kei To Primary School (Kowloon City), To Kwa Wan, KLN",九龍土瓜灣中華基督教會灣仔堂基道小學(九龍城),GeoCom
15573,Hong Kong Bethel Church Wing Kei Bethel Church,香港伯特利教會榮基堂,REM,CHU,838323.038,828620.765,"On Shing Industrial Building, Fo Tan, Sha Tin, NT",新界沙田火炭安盛工業大廈,GeoCom
15574,DUTCH HOSTEL,DUTCH HOSTEL,AMD,GHS,835844,817472,"Flat D2, 13/F, Block D, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈D座13字樓D2室,GeoCom
15575,HONG KONG VILLAGE,香港村,AMD,GHS,836058,817575,"Flat A, 5/F, Lyton Building,32-48 Mody Road, Tsim Sha Tsui,Kowloon.",九龍尖沙咀麼地道32-48號麗東大廈5字樓A室,GeoCom
15578,JOLLY GUESTHOUSE,愉宿精緻渡假旅館,AMD,GHS,820878,807445,"G/F, 2 Chung Hing San Street, Cheung Chau.",長洲中興新街2號地下,GeoCom
15580,WING LEE GUEST HOUSE,永利旅舘,AMD,GHS,835823,817606,"Flat D2, Block D,10/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈D座10字樓D2室,GeoCom
15581,Yan Tsz Church of United Brethern in Christ,基督教協基會恩慈堂,REM,CHU,833390.876,822342.078,"Kings Tower, Cheung Sha Wan, KLN",九龍長沙灣擎天廣場,GeoCom
15582,CAUSEWAY VILLA,CAUSEWAY VILLA,AMD,GHS,837719,816331,"G/F, Ming Hing Building,9-11 Gordon Road,Causeway Bay, Hong Kong",香港銅鑼灣歌頓道9-11號明興大樓地下,GeoCom
15583,Evangelical Free Church of China Fook Chuen Church,中國基督教播道會福泉堂,REM,CHU,833581.958,822000.232,"Billion Plaza II, Cheung Sha Wan, KLN",九龍長沙灣億京廣場二期,GeoCom
15584,KIRIN HOTEL,麒麟賓館,AMD,GHS,837083,815910,"Flat D, 9/F, Haywood Mansion, 57 Paterson Street, Causeway Bay, Hong Kong.",香港銅鑼灣百德新街57號海華大廈9字樓D室,GeoCom
15586,Evangelical Free Church of China Wo Ping Church,中國基督教播道會和平堂,REM,CHU,834452.42,822400.445,"SWCS YMCA HK Christian School, Cheung Sha Wan, KLN",九龍長沙灣基信學校,GeoCom
15587,Evangelize China Fellowship Tsim Sha Tsui Canaan Church,基督教中國佈道會尖沙咀迦南堂,REM,CHU,835619.407,821230.597,"Saint Too Sear Rogers International School, Shek Kip Mei, KLN",九龍石硤尾聖道弘爵國際學校,GeoCom
15588,MARRIGOLD HOSTEL,MARRIGOLD HOSTEL,AMD,GHS,835852,817482,"Flat D8 Block D, 11/F, Chungking Mansions, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號重慶大廈11字樓D座D8室,GeoCom
15590,REGAL HONG KONG HOTEL,富豪香港酒店,AMD,HTL,837297,815588,"88 Yee Wo Street,Causeway Bay,Hong Kong.",香港銅鑼灣怡和街88號,GeoCom
15591,ROME HOTEL,羅馬酒店,AMD,GHS,835800,818358,"Flat A&B, 2/F, 2 Tak Hing Street, Jordan, Kowloon.",九龍佐敦德興街2號2字樓A及B室,GeoCom
15592,COSMIC GUEST HOUSE,宇宙賓館,AMD,GHS,835826,817604,"Flat F4, 12/F, Block F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈F座12字樓F4室,GeoCom
15593,Temple,廟宇,REM,TMP,827959.993,827596.119,"Tsuen Wan, NT",新界荃灣,GeoCom
