,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
338,FIRST GUEST HOUSE,第一招待所,AMD,GHS,835817,817506,"Flat A1, 7/F, Block A, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈A座7字樓A1室,GeoCom
339,SEAVIEW HOSTEL,海景旅舍,AMD,GHS,835824,817602,"Flat F3, Block F, 16/F, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈F座16字樓F3室,GeoCom
340,INVICTUS KINDERGARTEN,INVICTUS KINDERGARTEN,SCH,KDG,845159,818199,"SHOPS G27-G28, G/F., COMMERCIAL ACCOMMODATION, MONTEREY, 23 TONG CHUN STREET, TSEUNG KWAN O, NEW TERRITORIES",新界將軍澳唐俊街23號MONTEREY商場地下G27—G28號舖,GeoCom
341,HONG CHI SHIU PONG MORNINGHOPE SCHOOL(PRIMARY SECTION),匡智紹邦晨輝學校(小學部),SCH,SEC,811057,815370,"9 CHUNG MUN ROAD, TUNG CHUNG, NEW TERRITORIES",新界東涌松滿路9號,GeoCom
342,Genetic Counselling Clinic,遺傳輔導診所,HNC,CLI,839603,819583,"9/F, Tower B, Hong Kong Children's Hospital, 1 Shing Cheong Road, Kowloon Bay, Kowloon.",九龍灣承昌道一號香港兒童醫院B座1樓,GeoCom
614,PO LEUNG KUK COMFORT COURT FOR THE SENIOR,保良局樂安居,HNC,ELD,831116,825140,"G/F (PART) AND 2/F (PART) - 7/F, SHING WO HOUSE, KWAI SHING EAST ESTATE, KWAI CHUNG",葵涌葵盛東邨盛和樓地下(部份)及二樓(部份)至七樓,GeoCom
641,Sau Mau Ping Public Library,秀茂坪公共圖書館,CUF,LIB,841922,819880,"The upper ground floor of Sau Yun House, Sau Mau Ping Estate, Sau Ming Road, Sau Mau Ping, Kowloon",九龍秀茂坪秀明道秀茂坪邨秀潤樓地下高層,GeoCom
645,TAK SUN KINDERGARTEN,德信幼稚園,SCH,KDG,835799,818326,103 AUSTIN ROAD KOWLOON,九龍柯士甸道103號,GeoCom
656,TAK SUN KINDERGARTEN,德信幼稚園,SCH,KDG,835799,818326,103 AUSTIN ROAD KOWLOON,九龍柯士甸道103號,GeoCom
666,DSC INTERNATIONAL SCHOOL,德思齊加拿大國際學校,SCH,PRS,840534,816306,"TAIKOO SHING, QUARRY BAY, HONG KONG",香港鰂魚涌太古城,GeoCom
